hz,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
2.48718,0.524995
2.61282,0.502308
2.73846,0.551589
2.8641,0.394178
2.98974,0.661795
3.11538,0.569665
3.24103,0.642649
3.36667,0.42042
3.49231,0.465969
3.61795,0.428989
3.74359,0.492984
3.86923,0.674343
3.99487,0.6944
4.12051,0.683962
4.24615,0.447766
4.37179,0.624351
4.49744,0.46928
4.62308,0.466411
4.74872,0.563079
4.87436,0.716025
5.,0.585348
0.1,0.325613
0.225641,0.306312
0.351282,0.312989
0.476923,0.30791
0.602564,0.30558
0.728205,0.307805
0.853846,0.35701
0.979487,0.330874
1.10513,0.419635
1.23077,0.414006
1.35641,0.31868
1.48205,0.481339
1.60769,0.474079
1.73333,0.408094
1.85897,0.402123
1.98462,0.342943
2.11026,0.308545
2.2359,0.480305
2.36154,0.443115
2.48718,0.409282
2.61282,0.35715
2.73846,0.452192
2.8641,0.536124
2.98974,0.50969
3.11538,0.544783
3.24103,0.546607
3.36667,0.589499
3.49231,0.593199
3.61795,0.426134
3.74359,0.756567
3.86923,0.426041
3.99487,0.761856
4.12051,0.343171
4.24615,0.749281
4.37179,0.542861
4.49744,0.463626
4.62308,0.53685
4.74872,0.463037
4.87436,0.478374
5.,0.492762
0.1,0.324492
0.225641,0.310118
0.351282,0.304969
0.476923,0.304853
0.602564,0.321958
0.728205,0.337377
0.853846,0.328868
0.979487,0.356522
1.10513,0.343492
1.23077,0.372585
1.35641,0.447959
1.48205,0.351328
1.60769,0.37544
1.73333,0.414876
1.85897,0.344527
1.98462,0.325735
2.11026,0.45318
2.2359,0.502212
2.36154,0.345542
2.48718,0.340432
2.61282,0.434248
2.73846,0.388812
2.8641,0.461932
2.98974,0.419204
3.11538,0.47156
3.24103,0.712347
3.36667,0.504167
3.49231,0.579973
3.61795,0.315657
3.74359,0.613402
3.86923,0.578858
3.99487,0.689279
4.12051,0.657506
4.24615,0.591521
4.37179,0.595053
4.49744,0.750852
4.62308,0.566744
4.74872,0.615864
4.87436,0.538203
5.,0.450741
0.1,0.316746
0.225641,0.305624
0.351282,0.306089
0.476923,0.305211
0.602564,0.329358
0.728205,0.311122
0.853846,0.330729
0.979487,0.346433
1.10513,0.314662
1.23077,0.328134
1.35641,0.397861
1.48205,0.426225
1.60769,0.326105
1.73333,0.432212
1.85897,0.402772
1.98462,0.384956
2.11026,0.430785
2.2359,0.518441
2.36154,0.467671
2.48718,0.45209
2.61282,0.44898
2.73846,0.638818
2.8641,0.334612
2.98974,0.414271
3.11538,0.722601
3.24103,0.587948
3.36667,0.46511
3.49231,0.631513
3.61795,0.486627
3.74359,0.495574
3.86923,0.546019
3.99487,0.414
4.12051,0.671391
