hz,J,promedio temporal de 0 a 100 de la pureza del caometro
2.6,0.7,0.742521
2.6,0.8,0.738099
2.6,0.9,0.718621
2.6,1.,0.705011
2.6,1.1,0.705491
2.6,1.2,0.722117
2.6,1.3,0.701125
2.6,1.4,0.706635
2.6,1.5,0.711575
2.6,1.6,0.68131
2.6,1.7,0.683501
2.6,1.8,0.667211
2.6,1.9,0.675178
2.6,2.,0.657505
2.6,2.1,0.682113
2.6,2.2,0.646308
2.6,2.3,0.634904
2.6,2.4,0.65454
2.6,2.5,0.6493
2.6,2.6,0.652274
2.6,2.7,0.651369
2.6,2.8,0.651648
2.6,2.9,0.659488
2.6,3.,0.653239
2.7,0.,1.
2.7,0.1,0.852162
2.7,0.2,0.778688
2.7,0.3,0.764126
2.7,0.4,0.743058
2.7,0.5,0.74155
2.7,0.6,0.717096
2.7,0.7,0.719534
2.7,0.8,0.71479
2.7,0.9,0.727785
2.7,1.,0.727235
2.7,1.1,0.703055
2.7,1.2,0.707396
2.7,1.3,0.712105
2.7,1.4,0.697152
2.7,1.5,0.724851
2.7,1.6,0.706972
2.7,1.7,0.721792
2.7,1.8,0.680361
2.7,1.9,0.68005
2.7,2.,0.67948
2.7,2.1,0.666134
2.7,2.2,0.66066
2.7,2.3,0.650726
2.7,2.4,0.653481
2.7,2.5,0.667515
2.7,2.6,0.672919
2.7,2.7,0.654399
2.7,2.8,0.655392
2.7,2.9,0.656267
2.7,3.,0.663693
2.8,0.,1.
2.8,0.1,0.857272
2.8,0.2,0.79029
2.8,0.3,0.791048
2.8,0.4,0.781632
2.8,0.5,0.751658
2.8,0.6,0.741447
2.8,0.7,0.732482
2.8,0.8,0.761537
2.8,0.9,0.730038
2.8,1.,0.73063
2.8,1.1,0.712435
2.8,1.2,0.712079
2.8,1.3,0.731584
2.8,1.4,0.720664
2.8,1.5,0.708598
2.8,1.6,0.690043
2.8,1.7,0.682458
2.8,1.8,0.689196
2.8,1.9,0.680306
2.8,2.,0.695562
2.8,2.1,0.677907
2.8,2.2,0.674234
2.8,2.3,0.67524
2.8,2.4,0.653374
2.8,2.5,0.651142
2.8,2.6,0.651435
2.8,2.7,0.650765
2.8,2.8,0.664596
2.8,2.9,0.660368
2.8,3.,0.662376
2.9,0.,1.
2.9,0.1,0.850687
2.9,0.2,0.799475
2.9,0.3,0.755958
2.9,0.4,0.786475
2.9,0.5,0.756349
2.9,0.6,0.749288
2.9,0.7,0.731981
2.9,0.8,0.722769
2.9,0.9,0.757484
2.9,1.,0.756648
2.9,1.1,0.713896
2.9,1.2,0.719718
2.9,1.3,0.732236
2.9,1.4,0.691907
2.9,1.5,0.699533
2.9,1.6,0.707143
2.9,1.7,0.701951
2.9,1.8,0.696028
2.9,1.9,0.683199
2.9,2.,0.683827
2.9,2.1,0.683268
2.9,2.2,0.673844
2.9,2.3,0.674861
2.9,2.4,0.654733
2.9,2.5,0.664028
2.9,2.6,0.665044
2.9,2.7,0.656322
2.9,2.8,0.664604
2.9,2.9,0.660488
2.9,3.,0.650937
3.,0.,1.
3.,0.1,0.865572
3.,0.2,0.820159
3.,0.3,0.765313
3.,0.4,0.797158
3.,0.5,0.778222
3.,0.6,0.765821
3.,0.7,0.7442
3.,0.8,0.716422
3.,0.9,0.740626
3.,1.,0.742656
3.,1.1,0.738678
3.,1.2,0.708312
3.,1.3,0.703782
3.,1.4,0.728045
3.,1.5,0.698504
3.,1.6,0.732609
3.,1.7,0.715481
3.,1.8,0.717914
3.,1.9,0.705041
3.,2.,0.679231
3.,2.1,0.704008
3.,2.2,0.688651
3.,2.3,0.688097
3.,2.4,0.670894
3.,2.5,0.654502
3.,2.6,0.667212
3.,2.7,0.657262
3.,2.8,0.656038
3.,2.9,0.666045
3.,3.,0.654272
